0.27128,0.001180
0.26834,0.001161
0.27815,0.001324
0.26250,0.001153
0.28322,0.001355
0.27735,0.001206
0.26904,0.001323
0.25955,0.001204
0.27283,0.001250
0.26824,0.001241
0.28291,0.001496
0.27361,0.001299
0.28255,0.001331
0.27109,0.001210
0.28356,0.001190
0.26458,0.001260
0.27094,0.001215
0.26493,0.001251
0.27674,0.001317
0.26502,0.001150
0.29646,0.001257
0.26590,0.001237
0.27291,0.001165
0.26477,0.001248
0.27773,0.001267
0.27631,0.001170
0.27595,0.001186
0.26929,0.001287
0.27905,0.001184
0.26778,0.001180
